# Large body (blockage 3/9) 
#
# The file contains PIV data for a turbulent pipe flow past a body of revolution on the centerline.
# Geometry of the body and details of the experiment can be found in:  
#
#   L. Ding, T. Saxton-Fox, M. Hultmark, and A. J. Smits 
#   Effects of pressure gradients and streamline curvature on the statistics of a turbulent pipe flow. 
#   In 11th International Symposium on Turbulence and Shear Flow Phenomena, Southampton, UK, 2019 
#
# Paramters of the fully-developed pipe flow upstream of the body: 
#
#   Pipe diameter, D = 38.1 mm 
#   Bulk velocity, Ub = 4.1 m/s 
#   Friction velocity, utau = 0.186 m/s 
#   Kinematic viscosity, nu = 1.0035e-06 m^2/s 
#   Bulk Reynolds number, Re_D = 156,000 
#   Friction Reynolds number, Re_tau = 3,550 
#
# In the data below, Ux and Ur are normalized by Ub, and <ux^2>, <ur^2> and <uxur> are normalized by utau^2. 
#
# x/R r/R y/R Ux Ur <ux^2> <ur^2> <uxur> 
0.1000 0.6892 0.3108 1.0713 0.0552 2.9814 1.2059 0.5536 
0.1000 0.6989 0.3011 1.0679 0.0536 3.0231 1.2169 0.5632 
0.1000 0.7087 0.2913 1.0642 0.0521 3.0733 1.2266 0.5725 
0.1000 0.7185 0.2815 1.0602 0.0502 3.1416 1.2314 0.5819 
0.1000 0.7282 0.2718 1.0567 0.0480 3.2014 1.2332 0.5914 
0.1000 0.7380 0.2620 1.0529 0.0456 3.2514 1.2427 0.6010 
0.1000 0.7477 0.2523 1.0482 0.0433 3.3053 1.2566 0.6113 
0.1000 0.7575 0.2425 1.0427 0.0412 3.3659 1.2767 0.6224 
0.1000 0.7672 0.2328 1.0372 0.0391 3.4345 1.2961 0.6340 
0.1000 0.7770 0.2230 1.0321 0.0379 3.4927 1.3079 0.6454 
0.1000 0.7867 0.2133 1.0271 0.0371 3.5508 1.3214 0.6560 
0.1000 0.7965 0.2035 1.0223 0.0356 3.6196 1.3247 0.6657 
0.1000 0.8063 0.1937 1.0173 0.0332 3.6994 1.3280 0.6749 
0.1000 0.8160 0.1840 1.0122 0.0314 3.7831 1.3449 0.6841 
0.1000 0.8258 0.1742 1.0060 0.0303 3.8518 1.3585 0.6928 
0.1000 0.8355 0.1645 0.9990 0.0287 3.9153 1.3624 0.7004 
0.1000 0.8453 0.1547 0.9920 0.0264 3.9745 1.3626 0.7067 
0.1000 0.8550 0.1450 0.9841 0.0242 4.0571 1.3650 0.7123 
0.1000 0.8648 0.1352 0.9757 0.0226 4.1373 1.3719 0.7175 
0.1000 0.8745 0.1255 0.9675 0.0206 4.2303 1.3723 0.7223 
0.1000 0.8843 0.1157 0.9586 0.0184 4.3406 1.3610 0.7265 
0.1000 0.8941 0.1059 0.9491 0.0172 4.4542 1.3635 0.7299 
0.1000 0.9038 0.0962 0.9378 0.0167 4.6164 1.3905 0.7322 
0.1000 0.9136 0.0864 0.9251 0.0151 4.7483 1.3895 0.7320 
0.1000 0.9233 0.0767 0.9110 0.0128 4.8919 1.3588 0.7276 
0.1000 0.9331 0.0669 0.8943 0.0116 5.0338 1.3333 0.7163 
0.1000 0.9428 0.0572 0.8768 0.0110 5.1417 1.3024 0.6998 
0.1000 0.9526 0.0474 0.8555 0.0099 5.4251 1.2613 0.6789 
0.1000 0.9624 0.0376 0.8309 0.0078 5.8025 1.2630 0.6562 
0.1000 0.9721 0.0279 0.8035 0.0050 6.3939 1.2034 0.6347 
0.2000 0.2370 0.7630 1.1212 0.3411 1.1156 0.8196 0.1715 
0.2000 0.2467 0.7533 1.1235 0.3267 1.1028 0.8606 0.1706 
0.2000 0.2565 0.7435 1.1256 0.3133 1.1151 0.8846 0.1696 
0.2000 0.2663 0.7337 1.1279 0.3011 1.1401 0.9026 0.1685 
0.2000 0.2760 0.7240 1.1299 0.2889 1.1603 0.9012 0.1673 
0.2000 0.2858 0.7142 1.1315 0.2764 1.1820 0.8897 0.1663 
0.2000 0.2955 0.7045 1.1328 0.2641 1.2073 0.8878 0.1655 
0.2000 0.3053 0.6947 1.1340 0.2534 1.2323 0.8867 0.1653 
0.2000 0.3150 0.6850 1.1356 0.2437 1.2564 0.8844 0.1663 
0.2000 0.3248 0.6752 1.1365 0.2348 1.2832 0.8862 0.1687 
0.2000 0.3345 0.6655 1.1370 0.2268 1.3161 0.8861 0.1723 
0.2000 0.3443 0.6557 1.1375 0.2194 1.3455 0.8892 0.1768 
0.2000 0.3541 0.6459 1.1381 0.2126 1.3785 0.8894 0.1817 
0.2000 0.3638 0.6362 1.1388 0.2058 1.4160 0.8933 0.1868 
0.2000 0.3736 0.6264 1.1391 0.1982 1.4501 0.8914 0.1916 
